Date : 2026-06-03 12:14:00
Directory : c:\Users\HP\Downloads\Main_Dashboard
Total : 221 files,  64562 codes, 601 comments, 5960 blanks, all 71123 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         76 |     29,602 |        168 |      2,348 |     32,118 |
| TypeScript         |         81 |     15,684 |        172 |      1,767 |     17,623 |
| JSON               |          3 |     10,284 |          0 |          3 |     10,287 |
| Markdown           |         16 |      4,109 |          2 |      1,088 |      5,199 |
| MS SQL             |         25 |      2,218 |        250 |        379 |      2,847 |
| JavaScript         |         12 |      1,391 |          4 |        171 |      1,566 |
| PostCSS            |          1 |      1,205 |          0 |        196 |      1,401 |
| JSON with Comments |          1 |         34 |          0 |          1 |         35 |
| PowerShell         |          1 |         30 |          5 |          7 |         42 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        221 |     64,562 |        601 |      5,960 |     71,123 |
| . (Files)                                                                                                     |         26 |     13,493 |         26 |        972 |     14,491 |
| app                                                                                                           |         58 |     17,625 |         81 |      1,874 |     19,580 |
| app (Files)                                                                                                   |          4 |      1,310 |          1 |        208 |      1,519 |
| app\admin                                                                                                     |          5 |      2,361 |         19 |        167 |      2,547 |
| app\admin (Files)                                                                                             |          1 |          4 |          1 |          3 |          8 |
| app\admin\permissions                                                                                         |          1 |        551 |          0 |         43 |        594 |
| app\admin\roles                                                                                               |          1 |        203 |          1 |         18 |        222 |
| app\admin\settings                                                                                            |          1 |        358 |         10 |         26 |        394 |
| app\admin\users                                                                                               |          1 |      1,245 |          7 |         77 |      1,329 |
| app\api                                                                                                       |         37 |     10,646 |         33 |      1,112 |     11,791 |
| app\api\admin                                                                                                 |          3 |        690 |          9 |        129 |        828 |
| app\api\admin\permissions                                                                                     |          1 |        151 |          0 |         25 |        176 |
| app\api\admin\settings                                                                                        |          1 |         81 |          0 |         14 |         95 |
