Date : 2026-05-26 12:34:05
Directory : c:\Users\HP\Downloads\Main_Dashboard
Total : 163 files,  40145 codes, 611 comments, 3661 blanks, all 44417 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         62 |     18,238 |        169 |      1,632 |     20,039 |
| JSON               |          3 |     10,277 |          0 |          3 |     10,280 |
| TypeScript         |         52 |      7,442 |        190 |        968 |      8,600 |
| Markdown           |         15 |      2,118 |          2 |        680 |      2,800 |
| MS SQL             |         20 |      1,694 |        243 |        311 |      2,248 |
| PostCSS            |          1 |        235 |          0 |         43 |        278 |
| JavaScript         |          3 |         72 |          2 |         16 |         90 |
| JSON with Comments |          1 |         34 |          0 |          1 |         35 |
| PowerShell         |          1 |         30 |          5 |          7 |         42 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        163 |     40,145 |        611 |      3,661 |     44,417 |
| . (Files)                                                                                                     |         25 |     12,706 |         26 |        707 |     13,439 |
| .commandcode                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| .commandcode\taste                                                                                            |          1 |          0 |          0 |          1 |          1 |
| app                                                                                                           |         37 |      9,986 |         80 |      1,103 |     11,169 |
| app (Files)                                                                                                   |          4 |        329 |          1 |         55 |        385 |
| app\admin                                                                                                     |          4 |      1,339 |         18 |         86 |      1,443 |
| app\admin (Files)                                                                                             |          1 |          4 |          1 |          3 |          8 |
| app\admin\roles                                                                                               |          1 |        204 |          1 |         19 |        224 |
| app\admin\settings                                                                                            |          1 |        359 |          9 |         26 |        394 |
| app\admin\users                                                                                               |          1 |        772 |          7 |         38 |        817 |
| app\api                                                                                                       |         22 |      5,242 |         33 |        612 |      5,887 |
