Date : 2026-06-06 11:46:36
Directory : c:\Users\HP\Downloads\Main_Dashboard
Total : 273 files,  107788 codes, 668 comments, 8920 blanks, all 117376 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         97 |     57,039 |        238 |      4,140 |     61,417 |
| TypeScript         |        110 |     31,121 |        169 |      2,906 |     34,196 |
| JSON               |          3 |     10,284 |          0 |          3 |     10,287 |
| Markdown           |         16 |      4,136 |          2 |      1,090 |      5,228 |
| MS SQL             |         25 |      2,225 |        250 |        381 |      2,856 |
| PostCSS            |          1 |      1,508 |          0 |        215 |      1,723 |
| JavaScript         |         12 |      1,392 |          4 |        171 |      1,567 |
| JSON with Comments |          1 |         34 |          0 |          1 |         35 |
| PowerShell         |          1 |         30 |          5 |          7 |         42 |
| Log                |          2 |         14 |          0 |          6 |         20 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        273 |    107,788 |        668 |      8,920 |    117,376 |
| . (Files)                                                                                                          |         28 |     13,535 |         26 |        980 |     14,541 |
| app                                                                                                                |         90 |     32,634 |         78 |      3,002 |     35,714 |
| app (Files)                                                                                                        |          4 |      1,613 |          1 |        227 |      1,841 |
| app\admin                                                                                                          |          5 |      2,361 |         19 |        167 |      2,547 |
| app\admin (Files)                                                                                                  |          1 |          4 |          1 |          3 |          8 |
| app\admin\permissions                                                                                              |          1 |        551 |          0 |         43 |        594 |
| app\admin\roles                                                                                                    |          1 |        203 |          1 |         18 |        222 |
| app\admin\settings                                                                                                 |          1 |        358 |         10 |         26 |        394 |
| app\admin\users                                                                                                    |          1 |      1,245 |          7 |         77 |      1,329 |
| app\api                                                                                                            |         62 |     24,981 |         30 |      2,155 |     27,166 |
