Date : 2026-06-03 18:58:31
Directory : c:\Users\HP\Downloads\Main_Dashboard
Total : 226 files,  66823 codes, 627 comments, 6118 blanks, all 73568 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         78 |     31,248 |        197 |      2,462 |     33,907 |
| TypeScript         |         84 |     16,291 |        169 |      1,811 |     18,271 |
| JSON               |          3 |     10,284 |          0 |          3 |     10,287 |
| Markdown           |         16 |      4,115 |          2 |      1,088 |      5,205 |
| MS SQL             |         25 |      2,220 |        250 |        379 |      2,849 |
| JavaScript         |         12 |      1,391 |          4 |        171 |      1,566 |
| PostCSS            |          1 |      1,205 |          0 |        196 |      1,401 |
| JSON with Comments |          1 |         34 |          0 |          1 |         35 |
| PowerShell         |          1 |         30 |          5 |          7 |         42 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                             |        226 |     66,823 |        627 |      6,118 |     73,568 |
| . (Files)                                                                                                     |         26 |     13,499 |         26 |        972 |     14,497 |
| app                                                                                                           |         61 |     18,226 |         78 |      1,921 |     20,225 |
| app (Files)                                                                                                   |          4 |      1,310 |          1 |        208 |      1,519 |
| app\admin                                                                                                     |          5 |      2,361 |         19 |        167 |      2,547 |
| app\admin (Files)                                                                                             |          1 |          4 |          1 |          3 |          8 |
| app\admin\permissions                                                                                         |          1 |        551 |          0 |         43 |        594 |
| app\admin\roles                                                                                               |          1 |        203 |          1 |         18 |        222 |
| app\admin\settings                                                                                            |          1 |        358 |         10 |         26 |        394 |
| app\admin\users                                                                                               |          1 |      1,245 |          7 |         77 |      1,329 |
| app\api                                                                                                       |         39 |     11,220 |         30 |      1,150 |     12,400 |
| app\api\admin                                                                                                 |          3 |        690 |          9 |        129 |        828 |
| app\api\admin\permissions                                                                                     |          1 |        151 |          0 |         25 |        176 |
| app\api\admin\settings                                                                                        |          1 |         81 |          0 |         14 |         95 |
| app\api\admin\users                                                                                           |          1 |        458 |          9 |         90 |        557 |
